LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6711,0.3221,9.8235,614.28
DL101,0.6699,0.3228,10.0376,614.04
DL102,0.6703,0.3226,9.8665,614.11
DL103,0.6697,0.322,9.9054,614.33
DL104,0.6717,0.3213,9.8593,614.56
DL105,0.671,0.3205,9.8462,614.86
DL106,0.672,0.3215,10.0472,614.49
DL107,0.6726,0.3197,9.9528,615.16
DL108,0.6708,0.3211,9.5806,614.64
