LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.669,0.3232,9.2966,613.90
DL101,0.6713,0.3222,10.0762,614.24
DL102,0.6712,0.323,10.1365,613.95
DL103,0.6704,0.322,9.8533,614.33
DL104,0.6714,0.3206,9.9445,614.81
DL105,0.6703,0.3226,10.0411,614.11
DL106,0.6702,0.3224,9.7373,614.18
DL107,0.6705,0.3222,10.0272,614.25
DL108,0.6732,0.3204,9.9267,614.86
