LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6713,0.3209,9.9533,614.70
DL101,0.6706,0.3215,9.7921,614.50
DL102,0.6695,0.3223,9.8922,614.23
DL103,0.6702,0.3226,9.9803,614.11
DL104,0.6701,0.3216,9.4201,614.47
DL105,0.6717,0.3221,9.8817,614.27
DL106,0.6714,0.3214,9.8841,614.52
DL107,0.6724,0.3211,9.9443,614.62
DL108,0.6702,0.3227,10.1645,614.07
