LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6732,0.3209,10.1466,614.68
DL101,0.6704,0.3227,10.0221,614.07
DL102,0.6706,0.3213,9.8694,614.57
DL103,0.672,0.3222,9.915,614.23
DL104,0.6705,0.3229,9.572,614.00
DL105,0.6721,0.3213,9.7156,614.56
DL106,0.6709,0.323,10.1024,613.96
DL107,0.6707,0.3223,9.9383,614.22
DL108,0.6718,0.3223,9.9076,614.19
