"LED name","x","y","Luminous Flux","Dominant Wavelength"
"LED 1",0.6789,0.3177,38.687,616.00
"LED 2",0.6792,0.3181,38.5186,615.80
"LED 3",0.6781,0.3188,40.3208,615.49
"LED 4",0.6769,0.3198,38.6974,615.03
"LED 5",0.6789,0.3178,37.6726,615.95
