LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6703,0.3212,10.0283,614.62
DL101,0.6694,0.3233,9.9269,613.87
DL102,0.6716,0.3212,9.5027,614.59 	
DL103,0.6696,0.3234,10.1131,613.83
DL104,0.6693,0.3227,10.0678,614.08
DL105,0.6708,0.3218,9.9782,614.39
DL106,0.6702,0.3216,9.8686,614.47
DL107,0.6703,0.322,9.7881,614.33
DL108,0.6708,0.3221,10.2331,614.28
