LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6722,0.3235,9.8235,613.77
DL101,0.6763,0.3208,9.8669,614.68
DL102,0.6756,0.3204,10.0388,614.83
DL103,0.6734,0.3217,9.8752,614.40
DL104,0.6732,0.3221,10.0479,614.25
DL105,0.6714,0.3229,9.8266,613.99
DL106,0.6725,0.3238,9.8906,613.66
DL107,0.6748,0.3201,9.7106,614.95
DL108,0.6735,0.3216,9.8572,614.42
