LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6685,0.3234,10.0214,613.84
DL101,0.6682,0.3231,10.0745,613.95
DL102,0.669,0.3223,10.3221,614.23
DL103,0.6696,0.3216,10.1792,614.47
DL104,0.6693,0.3224,10.0462,614.19
DL105,0.6696,0.3217,9.91,614.44
DL106,0.6687,0.322,9.9576,614.34
DL107,0.6692,0.3221,10.1939,614.3
DL108,0.6689,0.3226,10.3621,614.12
