LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6745,0.3207,10.0073,614.74
DL101,0.6764,0.3211,9.884,614.57
DL102,0.6752,0.3216,9.9191,614.41
DL103,0.6737,0.3212,9.961,614.57
DL104,0.6748,0.3215,9.9378,614.45
DL105,0.6751,0.3198,10.1548,615.06
DL106,0.674,0.3234,10.1418,613.78
DL107,0.674,0.3228,10.1102,614
DL108,0.6759,0.3215,10.2528,614.44
