LED name,x,y,Luminous Flux,Dominant Wavelength
DL100,0.6707,0.3208,10.0792,614.75
DL101,0.668,0.322,10.3257,614.35
DL102,0.6699,0.3218,9.9243,614.4
DL103,0.6696,0.3212,10.2048,614.62
DL104,0.6686,0.3228,10.237,614.06
DL105,0.668,0.3224,10.0936,614.21
DL106,0.6679,0.3222,10.2046,614.28
DL107,0.6688,0.3223,10.209,614.23
DL108,0.6696,0.3221,10.3732,614.3
