 ProdDate ;ProdTime;BitronCode;UUT;Result;Mode;FailNo;TestTime;Check Barcode;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;
2019-09-23;13:17:04; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:08; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.063 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:08; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.063 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:11; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.063 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:11; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.063 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:15; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.281 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:15; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.281 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:32; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:33; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:35; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:35; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:39; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:39; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:40; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:41; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:42; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:42; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:44; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:44; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:47; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:47; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:48; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:49; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:51; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:51; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:56; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:17:56; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.078 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:32; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.375 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:32; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.375 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:34; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.375 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:35; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.375 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:38; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.031 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:38; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.031 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:41; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.5 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:42; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.5 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:45; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:45; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:49; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.547 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:18:49; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.547 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:25; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:25; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:28; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:28; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:30; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:31; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:32; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:32; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:34; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:34; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:36; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:36; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:38; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:38; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
